"","actual","predicted","proportion","correct"
"240","mech_siren","mech_train",0.0526315789473684,FALSE
"241","mech_train","ambient_day",0,FALSE
"242","mech_train","ambient_night",0,FALSE
"243","mech_train","ambient_rain",0,FALSE
"244","mech_train","ambient_scraping",0,FALSE
"245","mech_train","goose",0,FALSE
"246","mech_train","human",0,FALSE
"247","mech_train","ins_buzz_bee",0,FALSE
"248","mech_train","ins_buzz_high",0,FALSE
"249","mech_train","ins_buzz_low",0.0833333333333333,FALSE
"250","mech_train","ins_trill",0,FALSE
"251","mech_train","mech_auto",0.0416666666666667,FALSE
"252","mech_train","mech_combine",0,FALSE
"253","mech_train","mech_hum_traffic",0,FALSE
"254","mech_train","mech_plane",0.25,FALSE
"255","mech_train","mech_siren",0,FALSE
"256","mech_train","mech_train",0.625,TRUE
